AERODROME;Location Indicator;Visible;Latitude;LatitudeDecimal;Longitude;LongitudeDecimal;Location;Elevation;RWY1;Dimensions1 (m);Surface1;Light1;RWY2;Dimensions2 (m);Surface2;Light2;ATS;Fuel;COM FREQ (MHz);Category;AIP;Owner/Operator;TEL Fax1;TEL Fax2;Regulations and restrictions;Remarks
ALINGSÅS;ESGI;Y;575659;57,9497222222;123441;12,5780555556;1.8 NM NE;226 ft;01/19;600x30;Grass;No;;;;;-;100LL;123,650;Non-licensed AD;N;Alingsås flygklubb;+46 (0)322 148 87;+46 (0)322 63 31 98;;
ARBOGA;ESQO;Y;592318;59,3883333333;155515;15,9208333333;2 NM SE;33 ft;15/33;2000x40;ASPH;No;;;;;-;-;123,150;Non-licensed AD;N;SAAB;+46 (0)589 800 00;;PPR;Limited fire fighting, rescue and handling service O/R. Glider flying
ARBRÅ;ESUB;Y;613045;61,5125;162221;16,3725;1.5 NM N;378 ft;18/36;700x30;Grass;No;;;;;-;91/96;123,200;Non-licensed AD;N;Arbrå flygklubb;+46 (0)278 454 54;+46 (0)705 84 07 00;;
ARVIDSJAUR;ESNX;Y;653225;65,5402777778;191655;19,2819444444;2.5 NM E;1245 ft;12/30;2500x45;ASPH;Yes;;;;;TWR/AFIS;;Yes;Licensed, instrument AD;Y;Municipal;;;;
ARVIKA;ESKV;Y;594030;59,675;123822;12,6394444444;NE 2 NM from Arvika;237 ft;01/19;1150x30;ASPH;Yes;;;;;;100LL;123,350;Non-licensed AD;N;Arvika flygklubb;+46 (0)455 756 37;+46 (0)705 69 53 37;More than three TGL only permitted weekdays 0700-1600 (0600-1500).;THR 19 displaced 200 m. PCL on frequency 123.350 MHz for 10 seconds. After departure, no left turn until passing S of highway 61. Other activities including motor vehicles may occur on RWY, TWY and APN. Wildlife common in aerodrome area. Credit cards accepted for payment of fuel. info@arvikaflygklubb.se www.arvikaflygklubb.se
AVESTA;ESVA;Y;601049;60,1802777778;160722;16,1227777778;2.6 NM NNW;320 ft;15/33;850x40;Grass;No;;;;;;91/96;123,550;Non-licensed AD;N;Avesta flygklubb;+46 (0)226 221 23;+46 (0)226 128 86;;THR 15 displaced 50 m. Glider flying
BORGLANDA;ESMB;Y;565147;56,8630555556;163922;16,6561111111;0.7 NM SW Borgholm;118 ft;03/21;625x50;Grass;No;;;;;-;-;123,550;Non-licensed AD;N;Municipal;+46 (0)485 104 00 (AD);+46 (0)706 62 07 95;PPR OCT-APR;Right hand traffic circuit to RWY 03.
BORLÄNGE;ESSD;Y;602520;60,4222222222;153054;15,515;4 NM SSE;503 ft;14/32;2313x45;ASPH;Yes;12/30;720x50;Grass;No;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
BORÅS;ESGE;Y;574145;57,6958333333;125042;12,845;3.5 NM SW;588 ft;04L/22R;800x18;ASPH;Yes;04R/22L;800x50;Grass;No;;100LL;123,525;Licensed AD;N;Municipal / OPR Borås flygplatsförening;+46 (0)708 15 86 11;;PPR during 15 NOV-15 APR. Flying activity only permitted : MON-THU 0600-2100 (0500-2000) FRI 0600-1900 (0500-1800) SAT-SUN SEP-MAY 0700-1900 (0600-1800) SAT-SUN JUN-AUG 0700-1700 (0600-1600). Flying activity are not allowed Good Friday, Easter Eve, Whitsun Eve, Whitsunday, Midsummer Eve, first connected SAT-SUN in JUL, Christmas Eve, Christmas Day and Day after Christmas Day. Landing with gliders excepted from hours and days above.;Grass surface soft at precipitation. For gliders right hand traffic circuit to RWY 04R. PCL on freq 123.525 MHz, 10 sec duration. After take-off RWY 22R/L turn left immediately.
BRATTFORSHEDEN;ESSM;Y;593630;59,6083333333;135444;13,9122222222;;588 ft;08/26;800x50;Grass;Yes;;;;;;100LL;-;Non-licensed AD;N;Brattforshedens flygklubb;+46 (0)553 210 71;;;APR-OCT extensive winchlaunching of gliders.
