Name of station;Visible;Category;Variation;Var2;ID;Frequency;Hours of operation;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;ELEV (ft);FRA;Remarks
ALMA;Y;VOR;4;E;ALM;116.40 MHz;H24;552440,7;55,41130556;133327,1;13,55752778;;;Coverage FL500/60 NM
ARLANDA;Y;DVOR/DME;5;E;ARL;116.00 MHz;H24;593912,4;59,65344444;175451,9;17,91441667;141;;Coverage FL500/100 NM
AROS;Y;DVOR/DME;5;E;ARS;112.80 MHz;H24;593510,3;59,58619444;163901,4;16,65038889;50;A;Coverage FL500/80 NM
ARVIDSJAUR;Y;DME;0;E;ARV;109.35 MHz;H24;653552;65,59777778;191546,3;19,26286111;1276;;Coverage FL500/100 NM
BACCHUS;Y;NDB;0;E;BCS;416 kHz;H24;623413,4;62,57038889;170242,8;17,04522222;;;Coverage 25 NM
BACKA;Y;DVOR/DME;3;E;BAK;112.70 MHz;H24;573318,6;57,55516667;115836,7;11,97686111;301;;Coverage FL500/80 NM
BORLÄNGE;Y;VOR/DME;4;E;BOR;117.60 MHz;H24;602517,4;60,4215;153109,1;15,51919444;518;;Coverage FL500/100 NM
BUNGE;Y;DME;0;E;BGE;116.60 MHz;H24;575106,9;57,85191667;190146,6;19,02961111;134;;Coverage FL500/100 NM
CORNER;Y;NDB;0;E;COR;388 kHz;H24;591541;59,26138889;172902,7;17,48408333;;;Coverage 25 NM
DUNKER;Y;DVOR;5;E;DKR;116.80 MHz;H24;591225,8;59,20716667;170043,5;17,01208333;;;Coverage FL500/80 NM
ERKEN;Y;NDB;0;E;ERK;383 kHz;H24;595346,4;59,89622222;182012,8;18,33688889;;;Coverage 25 NM
FENGERSFORS;Y;DME;0;E;FEN;115.35 MHz;H24;585500,9;58,91691667;121748,6;12,29683333;611;;Coverage FL500/100 NM
FÄRILA;Y;DME;0;E;FRL;116.50 MHz;H24;614905,6;61,81822222;155045,1;15,84586111;1168;;Coverage FL500/100 NM
HAMMAR;Y;DVOR/DME;6;E;HMR;112.60 MHz;H24;601645,5;60,27930556;182329,7;18,39158333;102;;Coverage 315°- 045° FL500/150 NM 
HOTING;Y;DME;0;E;HOT;115.70 MHz;H24;641403,3;64,23425;155559,8;15,93327778;2082;;Coverage FL500/100 NM
JÖNKÖPING;Y;DVOR/DME;4;E;JON;115.80 MHz;H24;574537,4;57,76038889;140355,5;14,06541667;774;A;Coverage FL500/100 NM
KALMAR;Y;VOR/DME;5;E;KAL;111.60 MHz;H24;564107,4;56,68538889;161703,1;16,28419444;26;;Coverage 022.5°- 067.5° FL500/80 NM
KARLSTAD;Y;VOR/DME;4;E;KSD;117.80 MHz;H24;592632,8;59,44244444;131953,6;13,33155556;348;D;Coverage FL500/120 NM
KIRUNA;Y;DVOR/DME;8;E;KRA;115.20 MHz;H24;674909,2;67,81922222;202015;20,3375;1490;;Coverage FL500/100 NM
KRISTIANSTAD;Y;NDB;0;E;OEM;363 kHz;H24;555923;55,98972222;140603,1;14,10086111;;;Coverage 30 NM
KRISTIANSTAD;Y;NDB;0;E;KD;375 kHz;H25;555216,4;55,87122222;140441,5;14,07819444;;;Coverage 15 NM
KRISTIANSTAD;Y;DME;0;E;MK;108.50 MHz;H26;555429,6;55,90822222;140457,1;14,08252778;92;;
LANDVETTER;Y;DVOR/DME;3;E;LAV;114.60 MHz;H24;573922;57,65611111;121723,5;12,28986111;574;;Coverage FL500/100 NM
LENA;Y;NDB;0;E;LNA;330 kHz;H24;593220,3;59,53897222;172130;17,35833333;;;Coverage 25 NM
LJUNGBYHED;Y;VOR/DME;3;E;LJU;113.40 MHz;H24;560459,1;56,08308333;131204;13,20111111;154;;
LULEÅ;Y;VOR/DME;9;E;SLU;115.10 MHz;H24;653224,8;65,54022222;220803,3;22,13425;58;;Coverage FL500/60 NM
LUNDE;Y;NDB;0;E;LUE;427 kHz;H24;625248,6;62,88016667;174936,2;17,82672222;;;Coverage 25 NM
MÖRBYLÅNGA;Y;DME;0;E;MBL;115.60 MHz;H24;561622,7;56,27297222;162432,5;16,40902778;104;;Coverage FL500/100 NM
NACKA;Y;NDB;0;E;NAK;335 kHz;H24;591741;59,29472222;181042,9;18,17858333;;;Coverage 25 NM
NATTA;Y;VOR/DME;8;E;NAT;113.00 MHz;H24;664447,3;66,74647222;211920,8;21,32244444;1260;;Coverage FL500/80 NM
NOLVIK;Y;VOR;3;E;NOL;113.20 MHz;H24;574623,8;57,77327778;114922,3;11,82286111;;;Coverage FL500/80 NM
NORTEL;Y;VOR/DME;6;E;NTL;116.30 MHz;H24;594459,3;59,74980556;184600,6;18,76683333;69;;Coverage FL500/100 NM
PAJALA;Y;DME;0;E;PJL;115.35 MHz;H24;671455,9;67,24886111;230344,2;23,06227778;602;;Coverage FL500/100 NM
RAMSELE;Y;DME;0;E;RAE;116.70 MHz;H24;633553,8;63,59827778;162448;16,41333333;1116;;Coverage FL500/100 NM
RONNEBY;Y;DME;0;E;RON;109.20 MHz;H24;561515,4;56,25427778;151548,9;15,26358333;197;;Coverage FL500/100 NM
RØNNE;Y;VOR;3;E;ROE;112.00 MHz;H24;550356,08;55,06557778;144531,29;14,75869167;;A;Coverage 153°- 018° FL500/80 NM
TACAN;Y;DME;3;E;ROE;(57X);H24;550342,73;55,06186944;144521,07;14,75585278;78,6;;Coverage FL 500/80 NM
SKELLEFTEÅ;Y;DVOR/DME;8;E;SKA;113.40 MHz;H24;643736;64,62666667;210445,4;21,07927778;174;;Coverage FL500/60 NM
SOPPERO;Y;DME;0;E;SPO;115.90 MHz;H24;680531;68,09194444;214125,8;21,6905;1310;;Coverage FL500/100 NM
STORUMAN;Y;DVOR/DME;6;E;SUM;116.30 MHz;H24;645719,6;64,95544444;174229,9;17,70830556;959;;Coverage FL500/100 NM
STURUP;Y;VOR/DME;4;E;SUP;113.00 MHz;H24;553204,3;55,53452778;132246,3;13,37952778;270;;Coverage FL500/80 NM
STURUP;Y;DME;0;E;NMS;111.90 MHz;H25;553244,1;55,54558333;132236,3;13,37675;244;;
STURUP;Y;DME;0;E;SMS;108.10 MHz;H26;553134,2;55,52616667;132250,7;13,38075;265;;
SUNDSVALL;Y;DVOR/DME;5;E;SUN;113.10 MHz;H24;623142,4;62,52844444;172655,4;17,44872222;55;;Coverage FL500/100 NM
SVEDA;Y;VOR/DME;3;E;SVD;116.20 MHz;H24;561007,9;56,16886111;123425,6;12,57377778;39;AD;Coverage FL500/100 NM
SVEG;Y;DME;0;E;SVE;113.95 MHz;H24;620247,2;62,04644444;142443,4;14,41205556;1175;;Coverage FL500/100 NM
TEBBY;Y;DVOR/DME;5;E;TEB;117.10 MHz;H24;593154,1;59,53169444;181212;18,20333333;197;;Coverage FL500/100 NM
TROSA;Y;DVOR/DME;5;E;TRS;114.30 MHz;H24;585616,5;58,93791667;173008;17,50222222;213;;Coverage FL500/80 NM
UMEÅ;Y;VOR/DME;7;E;UME;114.10 MHz;H24;634719;63,78861111;201706,8;20,28522222;33;;Coverage FL500/150 NM
VANJA;Y;NDB;0;E;VNA;364 kHz;H24;634957,6;63,83266667;195052,7;19,84797222;;;Coverage 30 NM
VASSEN;Y;DVOR/DME;5;E;VSN;115.25 MHz;H24;581811,3;58,30313889;154235,2;15,70977778;423;;Coverage FL500/100 NM
VEDBY;Y;DVOR/DME;3;E;VEY;116.90 MHz;H24;560854;56,14833333;131259,2;13,21644444;;;Coverage FL500/60 NM
VISBY;Y;VOR/DME;5;E;VSB;115.10 MHz;H24;573934,3;57,65952778;182048,7;18,34686111;154;;Coverage FL500/80 NM
VÄXJÖ;Y;NDB;0;E;JX;349 kHz;H24;565946;56,99611111;144526,6;14,75738889;;;Coverage 30 NM
VÄXJÖ;Y;NDB;0;E;VX;329 kHz;H24;565126,1;56,85725;144151,5;14,69763889;;;Coverage 30 NM
