Name code designator;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;FRA relevance;Remark/Usage
ABALA;Y;663929,5;66,65819444;230000;23;;
ABAMA;Y;575911,9;57,98663889;153410,6;15,56961111;(D);ESSA, ESSB
ABAXI;Y;664706;66,785;155233;15,87583333;(X);
ABENI;Y;591416,3;59,23786111;170519,6;17,08877778;;
ADVIS;Y;552305;55,38472222;130023;13,00638889;;
AGMOL;Y;644313,2;64,72033333;150554,2;15,09838889;;
ALAMI;Y;590252;59,04777778;205457;20,91583333;(X);
ALOLA;Y;591536,3;59,26008333;183706,4;18,61844444;;
AMPAD;Y;641856;64,31555556;195004;19,83444444;;
AMROR;Y;545324;54,89;150550;15,09722222;(EX);
AMSUR;Y;560602;56,10055556;123350;12,56388889;;
APTUG;Y;591935,6;59,32655556;190820,2;19,13894444;;
ARGIB;Y;595053;59,84805556;164441;16,74472222;;
ARMOD;Y;573002,6;57,50072222;172046,1;17,34613889;(AD);ESSA, ESSB
ARPIV;Y;613914;61,65388889;130957;13,16583333;;
ARTAB;Y;610000;61;182517;18,42138889;;
ASKEB;Y;662422,3;66,40619444;231657,6;23,28266667;;
ASTOS;Y;560713,7;56,12047222;125740,5;12,96125;;
ATLEM;Y;643641,9;64,61163889;144040,4;14,67788889;;
ATRIB;Y;562524;56,42333333;123048;12,51333333;;
BABAP;Y;592520,2;59,42227778;184227,5;18,70763889;(D);ESSA
BABSI;Y;555548,4;55,93011111;131158,1;13,19947222;;
BAGLO;Y;572517,2;57,42144444;181027,9;18,17441667;;
BAKIL;Y;625820;62,97222222;175612,4;17,93677778;;
BAKLA;Y;612145;61,3625;192457;19,41583333;(EX);
BAKLI;Y;545500;54,91666667;133338,8;13,56077778;(EA);(A) EKCH, EKRK, ESMS
BALEX;Y;644547,8;64,76327778;203915,5;20,65430556;;
BALOT;Y;650634;65,10944444;171652,7;17,28130556;;
BALOX;Y;550207,9;55,03552778;132537,1;13,42697222;;
BALVI;Y;594445;59,74583333;173525;17,59027778;;
BAMAX;Y;575724,1;57,95669444;141127,6;14,191;;
BAMIP;Y;655646,6;65,94627778;154141,7;15,69491667;;
BASTI;Y;652740;65,46111111;224237,4;22,71038889;;
BEDLA;Y;593744,2;59,62894444;161330,1;16,22502778;;
BEDOS;Y;572135,3;57,35980556;150750,3;15,13063889;(AD);(A): ESCF, ESKN, ESSL, ESSP
BELRO;Y;584529,3;58,75813889;162601;16,43361111;;
BENGI;Y;574920,3;57,82230556;144822,5;14,80625;;
BENKA;Y;631837,7;63,31047222;152432,6;15,40905556;;
BESLA;Y;655127,1;65,85752778;221836,9;22,31025;;
BEXAM;Y;565037,9;56,84386111;160805,9;16,13497222;;
BEXUL;Y;653534;65,59277778;240914;24,15388889;(EX);
BIKRU;Y;545500;54,91666667;141000;14,16666667;(EXD);(D) EKCH, EKRK
BODRI;Y;622454;62,415;194927;19,82416667;(EX);
BOLPA;Y;653804,8;65,63466667;213021,1;21,50586111;;
BOMGU;Y;585424;58,90666667;104307;10,71861111;(EX);
BUGAX;Y;610000;61;125357;12,89916667;;
DEDIT;Y;631529,7;63,25825;202702,2;20,45061111;;
DEGAL;Y;603819,8;60,63883333;175724;17,95666667;(A);ESSA, ESSB
DEGAV;Y;574341;57,72805556;122024,8;12,34022222;;
DEGED;Y;620601;62,10027778;164844;16,81222222;;
DEKIK;Y;564552;56,76444444;141827,9;14,30775;;
DEMUS;Y;572713,3;57,45369444;182145,4;18,36261111;;
DEPEX;Y;591131;59,19194444;150120,9;15,02247222;;
DEREX;Y;574022;57,67277778;201239;20,21083333;(EX);
DETMO;Y;621347,1;62,22975;165827,4;16,97427778;;
DETNA;Y;573515,4;57,58761111;110408,6;11,06905556;(D);ESGG, ESGP
DETNI;Y;545500;54,91666667;142039;14,34416667;(E);
DETSO;Y;583600;58,6;141551,7;14,26436111;(AD);(A): ESCF, ESKN, ESSA, ESSB,
DETUS;Y;550122,1;55,02280556;125958,8;12,99966667;;
DEVNI;Y;571259,8;57,21661111;135536,4;13,92677778;;
DEXOP;Y;665626;66,94055556;191619;19,27194444;;
DIBVA;Y;623752;62,63111111;142655;14,44861111;;
DIGLI;Y;590657,9;59,11608333;171822,2;17,30616667;;
DIGLO;Y;625209,6;62,86933333;142514,2;14,42061111;;
DIGOX;Y;590656;59,11555556;193610;19,60277778;(D);ESSB
DIKVI;Y;611744;61,29555556;142147;14,36305556;;
DIRAV;Y;634922,5;63,82291667;133906,8;13,65188889;;
DISGO;Y;550905,7;55,15158333;124400,8;12,73355556;(D);ESMS
DISRU;Y;583550;58,59722222;174401;17,73361111;;
DITVA;Y;561409,1;56,23586111;131150,3;13,19730556;;
