Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle;;;;
54N 13E;11740;ENBW WINDPARK BALTIC 2;1;Y;545701;54,95027778;130546;13,09611111;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;11741;ENBW WINDPARK BALTIC 2 N4;1;Y;545927;54,99083333;131251;13,21416667;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;11743;ENBW WINDPARK BALTIC 2 J8;1;Y;545809;54,96916667;131046;13,17944444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;11745;ENBW WINDPARK BALTIC 2 I8;1;Y;545756;54,96555556;131013;13,17027778;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;11746;ENBW WINDPARK BALTIC 2 J6;1;Y;545849;54,98027778;131029;13,17472222;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;11999;ENBW WINDPARK BALTIC 2;1;Y;545659;54,94972222;130502;13,08388889;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12000;ENBW WINDPARK BALTIC 2;1;Y;545727;54,9575;130534;13,09277778;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12001;ENBW WINDPARK BALTIC 2;1;Y;545753;54,96472222;130606;13,10166667;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12003;ENBW WINDPARK BALTIC 2;1;Y;545730;54,95833333;130617;13,10472222;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12004;ENBW WINDPARK BALTIC 2;1;Y;545707;54,95194444;130628;13,10777778;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12005;ENBW WINDPARK BALTIC 2;1;Y;545819;54,97194444;130638;13,11055556;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12006;ENBW WINDPARK BALTIC 2;1;Y;545758;54,96611111;130648;13,11333333;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12007;ENBW WINDPARK BALTIC 2;1;Y;545737;54,96027778;130658;13,11611111;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12008;ENBW WINDPARK BALTIC 2;1;Y;545715;54,95416667;130708;13,11888889;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12009;ENBW WINDPARK BALTIC 2 E1;1;Y;545844;54,97888889;130708;13,11888889;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12010;ENBW WINDPARK BALTIC 2 E2;1;Y;545824;54,97333333;130718;13,12166667;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12011;ENBW WINDPARK BALTIC 2 E3;1;Y;545803;54,9675;130726;13,12388889;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12012;ENBW WINDPARK BALTIC 2 E4;1;Y;545743;54,96194444;130736;13,12666667;456;456;FR/FLGR;Wind turbine;;;;
