Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
54N 13E	11740	ENBW WINDPARK BALTIC 2	545701N	0130546E	456	456	FR/FLGR	Wind turbine				
54N 13E	11741	ENBW WINDPARK BALTIC 2 N4	545927N	0131251E	456	456	FR/FLGR	Wind turbine				
54N 13E	11743	ENBW WINDPARK BALTIC 2 J8	545809N	0131046E	456	456	FR/FLGR	Wind turbine				
54N 13E	11745	ENBW WINDPARK BALTIC 2 I8	545756N	0131013E	456	456	FR/FLGR	Wind turbine				
54N 13E	11746	ENBW WINDPARK BALTIC 2 J6	545849N	0131029E	456	456	FR/FLGR	Wind turbine				
54N 13E	11999	ENBW WINDPARK BALTIC 2	545659N	0130502E	456	456	FR/FLGR	Wind turbine				
54N 13E	12000	ENBW WINDPARK BALTIC 2	545727N	0130534E	456	456	FR/FLGR	Wind turbine				
54N 13E	12001	ENBW WINDPARK BALTIC 2	545753N	0130606E	456	456	FR/FLGR	Wind turbine				
54N 13E	12003	ENBW WINDPARK BALTIC 2	545730N	0130617E	456	456	FR/FLGR	Wind turbine				
54N 13E	12004	ENBW WINDPARK BALTIC 2	545707N	0130628E	456	456	FR/FLGR	Wind turbine				
54N 13E	12005	ENBW WINDPARK BALTIC 2	545819N	0130638E	456	456	FR/FLGR	Wind turbine				
54N 13E	12006	ENBW WINDPARK BALTIC 2	545758N	0130648E	456	456	FR/FLGR	Wind turbine				
54N 13E	12007	ENBW WINDPARK BALTIC 2	545737N	0130658E	456	456	FR/FLGR	Wind turbine				
54N 13E	12008	ENBW WINDPARK BALTIC 2	545715N	0130708E	456	456	FR/FLGR	Wind turbine				
54N 13E	12009	ENBW WINDPARK BALTIC 2 E1	545844N	0130708E	456	456	FR/FLGR	Wind turbine				
54N 13E	12010	ENBW WINDPARK BALTIC 2 E2	545824N	0130718E	456	456	FR/FLGR	Wind turbine				
54N 13E	12011	ENBW WINDPARK BALTIC 2 E3	545803N	0130726E	456	456	FR/FLGR	Wind turbine				
54N 13E	12012	ENBW WINDPARK BALTIC 2 E4	545743N	0130736E	456	456	FR/FLGR	Wind turbine				
54N 13E	12013	ENBW WINDPARK BALTIC 2 E5	545723N	0130746E	456	456	FR/FLGR	Wind turbine				
54N 13E	12014	ENBW WINDPARK BALTIC 2 F1	545908N	0130737E	456	456	FR/FLGR	Wind turbine				
54N 13E	12015	ENBW WINDPARK BALTIC 2 F2	545848N	0130747E	456	456	FR/FLGR	Wind turbine				
54N 13E	12016	ENBW WINDPARK BALTIC 2 F3	545829N	0130755E	456	456	FR/FLGR	Wind turbine				
54N 13E	12017	ENBW WINDPARK BALTIC 2 F4	545810N	0130804E	456	456	FR/FLGR	Wind turbine				
54N 13E	12018	ENBW WINDPARK BALTIC 2 F5	545751N	0130814E	456	456	FR/FLGR	Wind turbine				
54N 13E	12019	ENBW WINDPARK BALTIC 2 F6	545731N	0130823E	456	456	FR/FLGR	Wind turbine				
54N 13E	12020	ENBW WINDPARK BALTIC 2 G1	545932N	0130806E	456	456	FR/FLGR	Wind turbine				
54N 13E	12021	ENBW WINDPARK BALTIC 2 G2	545909N	0130818E	456	456	FR/FLGR	Wind turbine				
54N 13E	12022	ENBW WINDPARK BALTIC 2 G3	545846N	0130828E	456	456	FR/FLGR	Wind turbine				
54N 13E	12023	ENBW WINDPARK BALTIC 2 G4	545823N	0130839E	456	456	FR/FLGR	Wind turbine				
54N 13E	12024	ENBW WINDPARK BALTIC 2 G5	545800N	0130849E	456	456	FR/FLGR	Wind turbine				
54N 13E	12025	ENBW WINDPARK BALTIC 2 G6	545737N	0130900E	456	456	FR/FLGR	Wind turbine				
54N 13E	12026	ENBW WINDPARK BALTIC 2 H1	545956N	0130837E	456	456	FR/FLGR	Wind turbine				
54N 13E	12027	ENBW WINDPARK BALTIC 2 H2	545937N	0130845E	456	456	FR/FLGR	Wind turbine				
54N 13E	12028	ENBW WINDPARK BALTIC 2 H3	545919N	0130853E	456	456	FR/FLGR	Wind turbine				
54N 13E	12029	ENBW WINDPARK BALTIC 2 H4	545900N	0130902E	456	456	FR/FLGR	Wind turbine				
54N 13E	12030	ENBW WINDPARK BALTIC 2 H5	545841N	0130911E	456	456	FR/FLGR	Wind turbine				
54N 13E	12031	ENBW WINDPARK BALTIC 2 H6	545822N	0130920E	456	456	FR/FLGR	Wind turbine				
54N 13E	12032	ENBW WINDPARK BALTIC 2 H7	545803N	0130929E	456	456	FR/FLGR	Wind turbine				
54N 13E	12033	ENBW WINDPARK BALTIC 2 H8	545745N	0130938E	456	456	FR/FLGR	Wind turbine				
54N 13E	12035	ENBW WINDPARK BALTIC 2 I2	545959N	0130916E	456	456	FR/FLGR	Wind turbine				
54N 13E	12036	ENBW WINDPARK BALTIC 2 I3	545938N	0130925E	456	456	FR/FLGR	Wind turbine				
54N 13E	12037	ENBW WINDPARK BALTIC 2 I4	545918N	0130934E	456	456	FR/FLGR	Wind turbine				
54N 13E	12038	ENBW WINDPARK BALTIC 2 I5	545857N	0130944E	456	456	FR/FLGR	Wind turbine				
54N 13E	12039	ENBW WINDPARK BALTIC 2 I6	545837N	0130954E	456	456	FR/FLGR	Wind turbine				
54N 13E	12040	ENBW WINDPARK BALTIC 2 L3	545944N	0131123E	456	456	FR/FLGR	Wind turbine				
54N 13E	12041	ENBW WINDPARK BALTIC 2 L4	545922N	0131134E	456	456	FR/FLGR	Wind turbine				
54N 13E	12042	ENBW WINDPARK BALTIC 2 L5	545900N	0131143E	456	456	FR/FLGR	Wind turbine				
54N 13E	12043	ENBW WINDPARK BALTIC 2 L6	545838N	0131154E	456	456	FR/FLGR	Wind turbine				
54N 13E	12045	ENBW WINDPARK BALTIC 2 M3	545940N	0131205E	456	456	FR/FLGR	Wind turbine				
54N 13E	12046	ENBW WINDPARK BALTIC 2 M4	545917N	0131217E	456	456	FR/FLGR	Wind turbine				
54N 13E	12047	ENBW WINDPARK BALTIC 2 M5	545853N	0131228E	456	456	FR/FLGR	Wind turbine				
54N 13E	12048	ENBW WINDPARK BALTIC 2 N3	545948N	0131242E	456	456	FR/FLGR	Wind turbine				
54N 13E	12049	ENBW WINDPARK BALTIC 2 N5	545907N	0131301E	456	456	FR/FLGR	Wind turbine				
54N 13E	12052	ENBW WINDPARK BALTIC 2 O3	545954N	0131320E	456	456	FR/FLGR	Wind turbine				
54N 13E	12053	ENBW WINDPARK BALTIC 2 O4	545937N	0131328E	456	456	FR/FLGR	Wind turbine				
54N 13E	12055	ENBW WINDPARK BALTIC 2 I7	545816N	0131003E	456	456	FR/FLGR	Wind turbine				
54N 13E	12059	ENBW WINDPARK BALTIC 2 J3	545947N	0131001E	456	456	FR/FLGR	Wind turbine				
54N 13E	12060	ENBW WINDPARK BALTIC 2 J4	545927N	0131010E	456	456	FR/FLGR	Wind turbine				
54N 13E	12061	ENBW WINDPARK BALTIC 2 J5	545908N 	0131019E	456	456	FR/FLGR	Wind turbine				
54N 13E	12062	ENBW WINDPARK BALTIC 2 J7	545829N	0131037E	456	456	FR/FLGR	Wind turbine				
54N 13E	12065	ENBW WINDPARK BALTIC 2 K3	545946N	0131042E	456	456	FR/FLGR	Wind turbine				
54N 13E	12066	ENBW WINDPARK BALTIC 2 K4	545925N	0131051E	456	456	FR/FLGR	Wind turbine				
54N 13E	12067	ENBW WINDPARK BALTIC 2 K5	545905N	0131101E	456	456	FR/FLGR	Wind turbine				
54N 13E	12068	ENBW WINDPARK BALTIC 2 K6	545845N	0131110E	456	456	FR/FLGR	Wind turbine				
54N 13E	12069	ENBW WINDPARK BALTIC 2 K7	545825N	0131120E	456	456	FR/FLGR	Wind turbine				
55N 12E	2	BARSEBÄCK/MALMÖ	554439.1N	0125518.2E	361	371	F R	Chimney				
55N 12E	857	MALMÖ/LIMHAMN 3	553524N	0125545E	394	404	F R	Chimney				
55N 12E	3654	ÖRESUNDSBRON	553429N	0124951E	669	669	F R/FLG W	Bridge pylon, 60 per minute				
55N 12E	3960	ÖRESUNDSBRON	553432N	0124923E	669	669	F R/FLG W	Bridge pylon, 60 per minute				
55N 12E	4847	BARSEBÄCK	554444.6N	0125548.4E	328	336	F R	Mast				
55N 12E	4848	BARSEBÄCK/MALMÖ	554441.1N	0125512.6E	361	361	F R	Chimney				
55N 12E	5245	KLÖSINGE	555428N	0125905E	335	499	F R	Wind turbine				
55N 12E	5246	KLÖSINGE	555429N	0125924E	335	499	F R	Wind turbine				
55N 12E	5247	KLÖSINGE	555440N	0125910E	335	499	F R	Wind turbine				
55N 12E	5248	KLÖSINGE	555440N	0125929E	335	499	F R	Wind turbine				
55N 12E	5249	KLÖSINGE	555452N	0125915E	335	499	F R	Wind turbine				
55N 12E	5250	KLÖSINGE	555452N	0125934E	335	502	F R	Wind turbine				
55N 12E	5389	LUNDÅKRA	555143N	0125204E	394	394	F R	Wind turbine				
55N 12E	5390	LUNDÅKRA	555131N	0125155E	394	394	F R	Wind turbine				
55N 12E	6434	V. HAMNEN MALMÖ	553648N	0125835E	623	636	F R	Building				
55N 12E	8895	LILLGRUND	553102N	0124812E	377	377	FLG R	Wind turbine				
55N 12E	8896	LILLGRUND	553042N	0124743E	377	377	FLG R	Wind turbine				
55N 12E	8897	LILLGRUND	553032N	0124728E	377	377	F R	Wind turbine				
55N 12E	8898	LILLGRUND	553022N	0124713E	377	377	FLG R	Wind turbine				
55N 12E	8899	LILLGRUND	553012N	0124659E	377	377	F R	Wind turbine				
55N 12E	8900	LILLGRUND	553002N	0124644E	377	377	F R	Wind turbine				
55N 12E	8901	LILLGRUND	553107N	0124756E	377	377	F R	Wind turbine				
55N 12E	8902	LILLGRUND	553047N	0124727E	377	377	F R	Wind turbine				
55N 12E	8903	LILLGRUND	553037N	0124712E	377	377	F R	Wind turbine				
55N 12E	8904	LILLGRUND	553017N	0124643E	377	377	F R	Wind turbine				
55N 12E	8905	LILLGRUND	553007N	0124629E	377	377	F R	Wind turbine				
55N 12E	8906	LILLGRUND	552957N	0124614E	377	377	FLG R	Wind turbine				
55N 12E	8907	LILLGRUND	553111N	0124741E	377	377	FLG R	Wind turbine				
55N 12E	8908	LILLGRUND	553101N	0124726E	377	377	F R	Wind turbine				
55N 12E	8909	LILLGRUND	553051N	0124712E	377	377	F R	Wind turbine				
55N 12E	8910	LILLGRUND	553052N	0124757E	377	377	F R	Wind turbine				
55N 12E	8936	LILLGRUND	553057N	0124742E	377	377	F R	Wind turbine				
55N 12E	8937	LILLGRUND	553027N	0124658E	377	377	F R	Wind turbine				
55N 12E	8938	LILLGRUND	553042N	0124657E	377	377	F R	Wind turbine				
55N 12E	8939	LILLGRUND	553032N	0124642E	377	377	F R	Wind turbine				
55N 12E	8940	LILLGRUND	553022N	0124628E	377	377	F R	Wind turbine				
55N 12E	8941	LILLGRUND	553012N	0124613E	377	377	F R	Wind turbine				
55N 12E	8942	LILLGRUND	553002N	0124558E	377	377	F R	Wind turbine				
