Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle
54N 13E;11740;ENBW WINDPARK BALTIC 2;1;Y;545701;54,9502777778;130546;13,0961111111;456;456;FR/FLGR;Wind turbine
54N 13E;11741;ENBW WINDPARK BALTIC 2 N4;1;Y;545927;54,9908333333;131251;13,2141666667;456;456;FR/FLGR;Wind turbine
54N 13E;11743;ENBW WINDPARK BALTIC 2 J8;1;Y;545809;54,9691666667;131046;13,1794444444;456;456;FR/FLGR;Wind turbine
54N 13E;11745;ENBW WINDPARK BALTIC 2 I8;1;Y;545756;54,9655555556;131013;13,1702777778;456;456;FR/FLGR;Wind turbine
54N 13E;11746;ENBW WINDPARK BALTIC 2 J6;1;Y;545849;54,9802777778;131029;13,1747222222;456;456;FR/FLGR;Wind turbine
54N 13E;11999;ENBW WINDPARK BALTIC 2;1;Y;545659;54,9497222222;130502;13,0838888889;456;456;FR/FLGR;Wind turbine
54N 13E;12000;ENBW WINDPARK BALTIC 2;1;Y;545727;54,9575;130534;13,0927777778;456;456;FR/FLGR;Wind turbine
54N 13E;12001;ENBW WINDPARK BALTIC 2;1;Y;545753;54,9647222222;130606;13,1016666667;456;456;FR/FLGR;Wind turbine
54N 13E;12003;ENBW WINDPARK BALTIC 2;1;Y;545730;54,9583333333;130617;13,1047222222;456;456;FR/FLGR;Wind turbine
54N 13E;12004;ENBW WINDPARK BALTIC 2;1;Y;545707;54,9519444444;130628;13,1077777778;456;456;FR/FLGR;Wind turbine
54N 13E;12005;ENBW WINDPARK BALTIC 2;1;Y;545819;54,9719444444;130638;13,1105555556;456;456;FR/FLGR;Wind turbine
54N 13E;12006;ENBW WINDPARK BALTIC 2;1;Y;545758;54,9661111111;130648;13,1133333333;456;456;FR/FLGR;Wind turbine
54N 13E;12007;ENBW WINDPARK BALTIC 2;1;Y;545737;54,9602777778;130658;13,1161111111;456;456;FR/FLGR;Wind turbine
54N 13E;12008;ENBW WINDPARK BALTIC 2;1;Y;545715;54,9541666667;130708;13,1188888889;456;456;FR/FLGR;Wind turbine
54N 13E;12009;ENBW WINDPARK BALTIC 2 E1;1;Y;545844;54,9788888889;130708;13,1188888889;456;456;FR/FLGR;Wind turbine
54N 13E;12010;ENBW WINDPARK BALTIC 2 E2;1;Y;545824;54,9733333333;130718;13,1216666667;456;456;FR/FLGR;Wind turbine
54N 13E;12011;ENBW WINDPARK BALTIC 2 E3;1;Y;545803;54,9675;130726;13,1238888889;456;456;FR/FLGR;Wind turbine
54N 13E;12012;ENBW WINDPARK BALTIC 2 E4;1;Y;545743;54,9619444444;130736;13,1266666667;456;456;FR/FLGR;Wind turbine
54N 13E;12013;ENBW WINDPARK BALTIC 2 E5;1;Y;545723;54,9563888889;130746;13,1294444444;456;456;FR/FLGR;Wind turbine
54N 13E;12014;ENBW WINDPARK BALTIC 2 F1;1;Y;545908;54,9855555556;130737;13,1269444444;456;456;FR/FLGR;Wind turbine
54N 13E;12015;ENBW WINDPARK BALTIC 2 F2;1;Y;545848;54,98;130747;13,1297222222;456;456;FR/FLGR;Wind turbine
54N 13E;12016;ENBW WINDPARK BALTIC 2 F3;1;Y;545829;54,9747222222;130755;13,1319444444;456;456;FR/FLGR;Wind turbine
54N 13E;12017;ENBW WINDPARK BALTIC 2 F4;1;Y;545810;54,9694444444;130804;13,1344444444;456;456;FR/FLGR;Wind turbine
54N 13E;12018;ENBW WINDPARK BALTIC 2 F5;1;Y;545751;54,9641666667;130814;13,1372222222;456;456;FR/FLGR;Wind turbine
54N 13E;12019;ENBW WINDPARK BALTIC 2 F6;1;Y;545731;54,9586111111;130823;13,1397222222;456;456;FR/FLGR;Wind turbine
54N 13E;12020;ENBW WINDPARK BALTIC 2 G1;1;Y;545932;54,9922222222;130806;13,135;456;456;FR/FLGR;Wind turbine
54N 13E;12021;ENBW WINDPARK BALTIC 2 G2;1;Y;545909;54,9858333333;130818;13,1383333333;456;456;FR/FLGR;Wind turbine
54N 13E;12022;ENBW WINDPARK BALTIC 2 G3;1;Y;545846;54,9794444444;130828;13,1411111111;456;456;FR/FLGR;Wind turbine
54N 13E;12023;ENBW WINDPARK BALTIC 2 G4;1;Y;545823;54,9730555556;130839;13,1441666667;456;456;FR/FLGR;Wind turbine
54N 13E;12024;ENBW WINDPARK BALTIC 2 G5;1;Y;545800;54,9666666667;130849;13,1469444444;456;456;FR/FLGR;Wind turbine
54N 13E;12025;ENBW WINDPARK BALTIC 2 G6;1;Y;545737;54,9602777778;130900;13,15;456;456;FR/FLGR;Wind turbine
54N 13E;12026;ENBW WINDPARK BALTIC 2 H1;1;Y;545956;54,9988888889;130837;13,1436111111;456;456;FR/FLGR;Wind turbine
54N 13E;12027;ENBW WINDPARK BALTIC 2 H2;1;Y;545937;54,9936111111;130845;13,1458333333;456;456;FR/FLGR;Wind turbine
54N 13E;12028;ENBW WINDPARK BALTIC 2 H3;1;Y;545919;54,9886111111;130853;13,1480555556;456;456;FR/FLGR;Wind turbine
54N 13E;12029;ENBW WINDPARK BALTIC 2 H4;1;Y;545900;54,9833333333;130902;13,1505555556;456;456;FR/FLGR;Wind turbine
54N 13E;12030;ENBW WINDPARK BALTIC 2 H5;1;Y;545841;54,9780555556;130911;13,1530555556;456;456;FR/FLGR;Wind turbine
54N 13E;12031;ENBW WINDPARK BALTIC 2 H6;1;Y;545822;54,9727777778;130920;13,1555555556;456;456;FR/FLGR;Wind turbine
54N 13E;12032;ENBW WINDPARK BALTIC 2 H7;1;Y;545803;54,9675;130929;13,1580555556;456;456;FR/FLGR;Wind turbine
54N 13E;12033;ENBW WINDPARK BALTIC 2 H8;1;Y;545745;54,9625;130938;13,1605555556;456;456;FR/FLGR;Wind turbine
54N 13E;12035;ENBW WINDPARK BALTIC 2 I2;1;Y;545959;54,9997222222;130916;13,1544444444;456;456;FR/FLGR;Wind turbine
54N 13E;12036;ENBW WINDPARK BALTIC 2 I3;1;Y;545938;54,9938888889;130925;13,1569444444;456;456;FR/FLGR;Wind turbine
54N 13E;12037;ENBW WINDPARK BALTIC 2 I4;1;Y;545918;54,9883333333;130934;13,1594444444;456;456;FR/FLGR;Wind turbine
54N 13E;12038;ENBW WINDPARK BALTIC 2 I5;1;Y;545857;54,9825;130944;13,1622222222;456;456;FR/FLGR;Wind turbine
54N 13E;12039;ENBW WINDPARK BALTIC 2 I6;1;Y;545837;54,9769444444;130954;13,165;456;456;FR/FLGR;Wind turbine
54N 13E;12040;ENBW WINDPARK BALTIC 2 L3;1;Y;545944;54,9955555556;131123;13,1897222222;456;456;FR/FLGR;Wind turbine
54N 13E;12041;ENBW WINDPARK BALTIC 2 L4;1;Y;545922;54,9894444444;131134;13,1927777778;456;456;FR/FLGR;Wind turbine
54N 13E;12042;ENBW WINDPARK BALTIC 2 L5;1;Y;545900;54,9833333333;131143;13,1952777778;456;456;FR/FLGR;Wind turbine
54N 13E;12043;ENBW WINDPARK BALTIC 2 L6;1;Y;545838;54,9772222222;131154;13,1983333333;456;456;FR/FLGR;Wind turbine
54N 13E;12045;ENBW WINDPARK BALTIC 2 M3;1;Y;545940;54,9944444444;131205;13,2013888889;456;456;FR/FLGR;Wind turbine
54N 13E;12046;ENBW WINDPARK BALTIC 2 M4;1;Y;545917;54,9880555556;131217;13,2047222222;456;456;FR/FLGR;Wind turbine
54N 13E;12047;ENBW WINDPARK BALTIC 2 M5;1;Y;545853;54,9813888889;131228;13,2077777778;456;456;FR/FLGR;Wind turbine
